,CD4T,hESC-H9,HEK293T,RNH2-KO-T3-8,RNH2-KO-T3-17
Intensity : moods-median-pvalue,0.017631732631896203,0.08033948855116235,0.15087481799720404,2.8587453158141927e-05,0.0010423110846967064
Intensity : mann-whitney-U-pvalue,0.5352617836716659,0.42178716563147545,0.011042636111623058,9.630591915383945e-06,5.7452216893293976e-08
Fragments : moods-median-pvalue,2.8971157983706307e-105,1.4433330297438003e-74,7.881851733611928e-65,1.255006205297949e-170,9.286390634775016e-120
Fragments : mann-whitney-U-pvalue,3.9378778072466074e-66,1.8260419046310302e-40,1.7004151625923486e-44,5.311026448604622e-80,1.533110237170583e-72
